Subfolder,Index,Exact Match,F1-Score,METEOR
text,67,0.0,0.0,0.0
text,71,0.0,0.0,0.03676470588235295
text,74,0.0,0.0,0.0
text,72,0.0,0.39999999999999997,0.2644901756882492
text,73,0.0,0.23255813953488375,0.2830014749262537
text,77,0.0,0.17857142857142858,0.16581632653061223
text,70,0.0,0.0,0.0
text,75,0.0,0.0,0.0
text,80,0.0,0.11764705882352941,0.07812500000000001
text,76,0.0,0.16666666666666669,0.20480225988700568
text,78,0.0,0.21428571428571427,0.13944223107569723
text,79,0.0,0.1111111111111111,0.3169683851502033
text,81,0.0,0.0,0.0
text,82,0.0,0.0,0.0
text,91,0.0,0.2,0.3455748175182481
text,85,0.0,0.6451612903225806,0.3650793650793651
text,90,0.0,0.6818181818181819,0.6727494919536442
text,84,0.0,0.0,0.0
text,88,0.0,0.5,0.3600378401439409
text,86,0.0,0.18421052631578946,0.1893678704771081
text,93,0.0,0.4864864864864864,0.46690088757396453
text,83,0.0,0.0,0.0
text,92,0.0,0.5185185185185186,0.39370381773399016
text,89,0.0,0.3448275862068966,0.2951024159663866
text,94,0.0,0.18181818181818182,0.21319444444444444
text,97,0.0,0.14285714285714285,0.1360452586206897
text,98,0.0,0.08695652173913045,0.11049723756906078
text,104,0.0,0.0,0.0
text,96,0.0,0.35000000000000003,0.3524904214559388
text,95,0.0,0.125,0.13586956521739132
text,99,0.0,0.0,0.0
text,87,0.0,0.058823529411764705,0.10000000000000002
text,103,0.0,0.0,0.0
text,102,0.0,0.0,0.0
text,101,0.0,0.0,0.0
text,105,0.0,0.0,0.1973628957755942
text,100,0.0,0.0,0.0
text,106,0.0,0.39999999999999997,0.2197880870561283
text,109,0.0,0.26666666666666666,0.163265306122449
text,110,0.0,0.0,0.0
text,111,0.0,0.12121212121212122,0.12068965517241381
text,107,0.0,0.19999999999999998,0.2718676122931442
text,108,0.0,0.37837837837837834,0.3489012139596384
text,112,0.0,0.0,0.02369668246445498
text,116,0.0,0.0,0.0
text,115,0.0,0.0,0.0
text,118,0.0,0.26666666666666666,0.1973496722713024
text,117,0.0,0.5185185185185186,0.4422585645974804
text,114,0.0,0.0,0.0
text,120,0.0,0.07547169811320754,0.20689655172413793
text,119,0.0,0.0,0.0
text,123,0.0,0.0,0.0
text,122,0.0,0.0,0.19274611398963734
text,125,0.0,0.5853658536585366,0.5187747035573124
text,124,0.0,0.0,0.03759398496240602
text,121,0.0,0.32,0.3840193897012079
text,126,0.0,0.14285714285714288,0.07407407407407408
text,127,0.0,0.6000000000000001,0.4289130434782609
text,113,0.0,0.0,0.0
text,128,0.0,0.17391304347826086,0.20362903225806456
text,129,0.0,0.5142857142857143,0.4503761574074074
text,132,0.0,0.0,0.07874015748031497
text,133,0.0,0.0,0.0
text,131,0.0,0.08,0.09960159362549802
text,130,0.0,0.0,0.0819672131147541
text,134,0.0,0.0,0.044247787610619475
text,135,0.0,0.2,0.248
text,139,0.0,0.4155844155844156,0.27934689944030544
text,140,0.0,0.0,0.14511873350923482
text,137,0.0,0.5714285714285714,0.4960317460317461
text,145,0.0,0.2105263157894737,0.31659574468085105
text,138,0.0,0.23728813559322035,0.19038076152304606
text,141,0.0,0.04878048780487805,0.3966016260162601
text,144,0.0,0.3414634146341463,0.2181917211328976
text,143,0.0,0.05555555555555555,0.11551155115511552
text,147,0.0,0.0,0.0
text,148,1.0,1.0,0.12755102040816327
text,146,0.0,0.30769230769230765,0.16990291262135923
text,136,0.0,0.0,0.0684931506849315
text,142,0.0,0.28571428571428564,0.31165311653116534
text,149,0.0,0.0,0.01908396946564886
